iter	Logloss
0	0.689059616
1	0.6852407106
2	0.6815924029
3	0.6780413655
4	0.6748114259
5	0.6716522655
6	0.6685030684
7	0.6654943069
8	0.6627788682
9	0.660172636
10	0.657804649
11	0.6554458219
12	0.6532536527
13	0.6511920244
14	0.649182166
15	0.6474043667
16	0.6455977681
17	0.6438966258
18	0.6422498578
19	0.6406409899
20	0.6391798277
21	0.6377883373
22	0.6364797798
23	0.635211957
24	0.6340167077
25	0.6328462108
26	0.6316672243
27	0.6305846867
28	0.6295315031
29	0.6285026878
30	0.6275502079
31	0.626630574
32	0.6257691166
33	0.6248969657
34	0.6240851089
35	0.6232988333
36	0.6225900388
37	0.6218526827
38	0.6211249597
39	0.6204176371
40	0.6197187896
41	0.6190526972
42	0.6184395733
43	0.6178247744
44	0.6172477581
45	0.6166848426
46	0.6161420786
47	0.6156258923
48	0.6151207529
49	0.6146385149
50	0.6141333171
51	0.6136328182
52	0.6131631575
53	0.6127145037
54	0.6123012689
55	0.6118962507
56	0.6114456786
57	0.611035016
58	0.6106328607
59	0.6102277779
60	0.6098542656
61	0.6094911078
62	0.6091469144
63	0.6088178478
64	0.6084776952
65	0.6081656202
66	0.6078543264
67	0.6075673418
68	0.6072463821
69	0.606910072
70	0.6066084569
71	0.6062820033
72	0.6060046216
73	0.6057379277
74	0.6054802392
75	0.6052127846
76	0.6049783737
77	0.6047427717
78	0.6045042945
79	0.6042878442
80	0.6040511414
81	0.6038157289
82	0.6035991025
83	0.6033747439
84	0.6031662568
85	0.602950154
86	0.6027361906
87	0.6025309946
88	0.6023019296
89	0.6020890712
90	0.6019049796
91	0.6017349475
92	0.6015653321
93	0.6013771421
94	0.6011867457
95	0.6010179932
96	0.6008488451
97	0.60068717
98	0.6005112299
99	0.6003179504
100	0.6001526808
101	0.5999432578
102	0.5997848778
103	0.5996305911
104	0.5994723293
105	0.5993447488
106	0.5992127695
107	0.5990761665
108	0.5989534725
109	0.5988062272
110	0.5986126514
111	0.5984083205
112	0.598276412
113	0.5981395875
114	0.598017733
115	0.5978780247
116	0.5977667408
117	0.597642182
118	0.5975143914
119	0.597346233
120	0.5972213109
121	0.5970660975
122	0.5969296627
123	0.5967895356
124	0.596620664
125	0.5965227409
126	0.5963624311
127	0.5962614632
128	0.5961453871
129	0.5960204295
130	0.5959094803
131	0.5957674977
132	0.5956659079
133	0.5955622495
134	0.5954200617
135	0.5953199099
136	0.5952005816
137	0.595054961
138	0.5949439311
139	0.5948344113
140	0.5947321127
141	0.5946432755
142	0.594554146
143	0.5944417895
144	0.5943584106
145	0.5942672213
146	0.5941843523
147	0.5940985063
148	0.5940163094
149	0.5938976849
150	0.5938140824
151	0.5937317369
152	0.5935789902
153	0.593489996
154	0.5933499999
155	0.5932760071
156	0.5932022101
157	0.5931215419
158	0.5930283738
159	0.592944366
160	0.5928465226
161	0.5927496048
162	0.5925878023
163	0.5925036203
164	0.5923802686
165	0.5922989974
166	0.59223618
167	0.5921534684
168	0.5920500858
169	0.5919930313
170	0.5919195044
171	0.591826148
172	0.5917584752
173	0.5916809219
174	0.5916196602
175	0.5915581175
176	0.5914529888
177	0.5913897762
178	0.5912991053
179	0.5912235139
180	0.5911517897
181	0.5910833833
182	0.5910229151
